,d18Op,lat,lon
5,-13.17640495300293,57.87083333333334,-155.10416666666666
6,-12.842631340026855,57.795833333333334,-152.5125
7,-13.55954647064209,59.9875,-167.02083333333334
8,-13.69173526763916,59.9125,-165.5875
9,-13.760026931762695,59.854166666666664,-162.04583333333335
10,-14.35315227508545,59.69583333333333,-160.0125
11,-13.945940017700195,59.69583333333333,-157.5125
12,-14.005191802978516,59.69583333333333,-155.0125
13,-14.02079963684082,59.87916666666667,-152.82083333333333
14,-15.29720401763916,59.69583333333333,-150.0125
0,-3.2572455406188965,19.854166666666664,-155.0875
0,-4.0403642654418945,-16.1375,-179.99583333333334
0,-14.943981170654297,61.587500000000006,-149.99583333333334
1,-18.012393951416016,61.587500000000006,-147.5125
2,-17.562915802001953,61.587500000000006,-145.0125
3,-16.78229522705078,61.587500000000006,-142.5125
4,-19.42258644104004,61.587500000000006,-140.0125
5,-17.63428497314453,61.587500000000006,-137.5125
6,-16.732053756713867,61.587500000000006,-135.00416666666666
7,-18.422292709350586,61.587500000000006,-132.5125
8,-18.467809677124023,61.587500000000006,-130.00416666666666
9,-19.135513305664062,61.587500000000006,-127.5125
10,-19.27933692932129,61.587500000000006,-125.0125
11,-18.082799911499023,61.587500000000006,-122.5125
12,-18.081466674804688,61.587500000000006,-120.0125
13,-18.206336975097656,63.47916666666667,-149.99583333333334
14,-18.561298370361328,63.47916666666667,-147.5125
15,-21.165361404418945,63.47916666666667,-145.0125
16,-18.3594913482666,63.47916666666667,-142.5125
17,-18.5688419342041,63.47916666666667,-140.0125
18,-18.032161712646484,63.47916666666667,-137.5125
19,-17.423002243041992,63.47916666666667,-135.00416666666666
20,-17.392492294311523,63.47916666666667,-132.5125
21,-19.41977310180664,63.47916666666667,-130.00416666666666
22,-19.54729461669922,63.47916666666667,-127.5125
23,-18.427553176879883,63.47916666666667,-125.0125
24,-19.063413619995117,63.47916666666667,-122.5125
25,-19.078060150146484,63.47916666666667,-120.0125
26,-17.617713928222656,65.37916666666666,-149.99583333333334
27,-17.60858154296875,65.37916666666666,-147.5125
28,-18.636343002319336,65.37916666666666,-145.0125
29,-17.827585220336914,65.37916666666666,-142.5125
30,-20.0128173828125,65.37916666666666,-140.0125
31,-19.173545837402344,65.37916666666666,-137.5125
32,-18.294679641723633,65.37916666666666,-135.00416666666666
33,-19.976200103759766,65.37916666666666,-132.5125
34,-18.946674346923828,65.37916666666666,-130.00416666666666
35,-17.915864944458008,65.37916666666666,-127.5125
36,-18.534915924072266,65.37916666666666,-125.0125
37,-19.467031478881836,65.37916666666666,-122.5125
38,-19.52737808227539,65.37916666666666,-120.0125
39,-18.230131149291992,67.27083333333333,-149.99583333333334
40,-19.10256576538086,67.27083333333333,-147.5125
41,-18.217348098754883,67.27083333333333,-145.0125
42,-18.957578659057617,67.27083333333333,-142.5125
43,-19.789865493774414,67.27083333333333,-140.0125
44,-19.545774459838867,67.27083333333333,-137.5125
45,-19.06500244140625,67.27083333333333,-135.00416666666666
46,-18.66402244567871,67.27083333333333,-132.5125
47,-19.12070083618164,67.27083333333333,-130.00416666666666
48,-19.76458168029785,67.27083333333333,-127.5125
49,-19.899816513061523,67.27083333333333,-125.0125
50,-19.91962242126465,67.27083333333333,-122.5125
51,-20.015094757080078,67.27083333333333,-120.0125
52,-19.6093807220459,69.1625,-149.99583333333334
53,-21.115694046020508,69.1625,-147.5125
54,-22.260868072509766,69.1625,-145.0125
55,-21.638063430786133,69.1625,-142.5125
56,-20.997314453125,69.1625,-140.0125
57,-19.622901916503906,69.05416666666667,-137.7625
58,-19.358617782592773,69.1625,-135.00416666666666
59,-19.29118537902832,69.1625,-132.5125
60,-19.22438621520996,69.1625,-130.00416666666666
61,-19.78911018371582,69.1625,-127.5125
62,-19.79228401184082,69.1625,-125.0125
63,-19.75480079650879,69.1625,-122.5125
64,-20.17287826538086,69.1625,-120.0125
65,-16.931896209716797,71.09583333333333,-122.7625
66,-19.93873405456543,72.8875,-125.0375
67,-20.35132598876953,72.95416666666667,-122.5125
68,-20.443098068237305,72.95416666666667,-120.0125
69,-20.736589431762695,74.52916666666667,-121.89583333333333
70,-21.433650970458984,76.4375,-121.99583333333334
71,-21.414201736450195,76.74583333333334,-120.0125
0,-6.305245876312256,35.0625,-120.0125
1,-5.602581977844238,37.1125,-122.32916666666667
2,-5.922412872314453,36.954166666666666,-120.0125
3,-7.249713897705078,38.85416666666667,-122.5125
4,-11.651172637939453,38.85416666666667,-120.0125
5,-9.57634449005127,40.74583333333334,-122.5125
6,-12.109173774719238,40.74583333333334,-120.0125
7,-7.709789752960205,42.7375,-124.5125
8,-11.510697364807129,42.6375,-122.5125
9,-12.40709400177002,42.6375,-120.0125
10,-9.712890625,44.5375,-122.5125
11,-12.497198104858398,44.5375,-120.0125
12,-10.19592571258545,46.42916666666667,-122.5125
13,-11.173208236694336,46.42916666666667,-120.0125
14,-9.368557929992676,48.37916666666666,-124.72916666666667
15,-10.48531723022461,48.3125,-122.5125
16,-13.423665046691895,48.32083333333333,-120.0125
17,-9.699653625488281,50.22083333333333,-127.5125
18,-11.720399856567383,50.22083333333333,-124.99583333333334
19,-14.205426216125488,50.22083333333333,-122.5125
20,-14.809103012084961,50.22083333333333,-120.0125
21,-11.859688758850098,52.1125,-127.5125
22,-16.227876663208008,52.1125,-125.0125
23,-16.346969604492188,52.1125,-122.5125
24,-18.076618194580078,52.1125,-120.0125
25,-11.44530200958252,54.0125,-132.5125
26,-12.228758811950684,54.0125,-130.0125
27,-15.577512741088867,54.0125,-127.5125
28,-16.398176193237305,54.0125,-125.0125
29,-16.329757690429688,54.0125,-122.5125
30,-17.67702293395996,54.0125,-120.0125
31,-8.931554794311523,55.8625,-134.57916666666668
32,-10.27490234375,55.87083333333334,-132.57916666666665
33,-13.661022186279297,55.895833333333336,-129.99583333333334
34,-18.294727325439453,55.90416666666667,-127.5125
35,-17.574556350708008,55.90416666666667,-125.0125
36,-17.099224090576172,55.90416666666667,-122.5125
37,-16.08452033996582,55.90416666666667,-120.0125
38,-13.335488319396973,57.795833333333334,-135.0125
39,-16.852619171142578,57.795833333333334,-132.5125
40,-18.538240432739258,57.795833333333334,-130.0125
41,-19.17329978942871,57.795833333333334,-127.5125
42,-18.768136978149414,57.795833333333334,-125.0125
43,-17.091760635375977,57.795833333333334,-122.5125
44,-16.38343048095703,57.795833333333334,-120.0125
45,-14.898831367492676,59.69583333333333,-149.99583333333334
46,-13.832817077636719,59.80416666666667,-147.69583333333333
47,-12.39435863494873,59.80416666666667,-144.59583333333333
48,-12.966474533081055,59.99583333333333,-141.8625
49,-12.576578140258789,59.75416666666667,-140.07916666666668
50,-17.052261352539062,59.69583333333333,-137.5125
51,-17.500215530395508,59.69583333333333,-135.0125
52,-18.508373260498047,59.69583333333333,-132.5125
53,-18.351036071777344,59.69583333333333,-130.0125
54,-17.363248825073242,59.69583333333333,-127.5125
55,-17.832172393798828,59.69583333333333,-125.0125
56,-17.13535499572754,59.69583333333333,-122.5125
57,-16.872705459594727,59.69583333333333,-120.0125
0,-18.085250854492188,61.587500000000006,-119.99583333333334
1,-18.336090087890625,61.587500000000006,-117.50416666666666
2,-19.01771354675293,61.587500000000006,-115.0125
3,-19.214279174804688,61.587500000000006,-112.5125
4,-19.138877868652344,61.587500000000006,-110.0125
5,-19.234800338745117,61.587500000000006,-107.5125
6,-19.308547973632812,61.587500000000006,-105.00416666666666
7,-19.07198715209961,61.587500000000006,-102.5125
8,-18.629697799682617,61.587500000000006,-100.0125
9,-18.25368309020996,61.587500000000006,-97.5125
10,-17.826040267944336,61.587500000000006,-95.0125
11,-16.609148025512695,61.82083333333333,-92.69583333333333
12,-19.06705665588379,63.47916666666667,-119.99583333333334
13,-19.09735870361328,63.47916666666667,-117.50416666666666
14,-19.39511489868164,63.47916666666667,-115.0125
15,-19.771331787109375,63.47916666666667,-112.5125
16,-19.792591094970703,63.47916666666667,-110.0125
17,-19.623828887939453,63.47916666666667,-107.5125
18,-19.381877899169922,63.47916666666667,-105.00416666666666
19,-19.153703689575195,63.47916666666667,-102.5125
20,-19.013513565063477,63.47916666666667,-100.0125
21,-18.75041389465332,63.47916666666667,-97.5125
